Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
94070-29501,WR,Brandin,Brandin Cooks,Cooks,3.200000047683716,1,6000,DAL@ARI,DAL,ARI,Q,Knee - mcl,,,,WR/FLEX
94070-90981,QB,Adrian,Adrian Martinez,Martinez,,,6000,ATL@DET,DET,ATL,,,,,,QB
94070-39793,TE,George,George Kittle,Kittle,3.950000047683716,2,6000,NYG@SF,SF,NYG,,,,,,TE/FLEX
94070-56192,QB,John,John Wolford,Wolford,8.899999618530273,2,6000,PHI@TB,TB,PHI,,,,,,QB
94070-29605,QB,Matt,Matt Barkley,Barkley,,,6000,BUF@WAS,BUF,WAS,Q,Elbow,,,,QB
94070-93103,QB,E.J.,E.J. Perry,Perry,,,6000,HOU@JAC,HOU,JAC,,,,,,QB
94070-56286,QB,Trace,Trace McSorley,McSorley,2.715999984741211,5,6000,NE@NYJ,NE,NYJ,,,,,,QB
94070-52342,QB,Will,Will Grier,Grier,,,6000,LAR@CIN,CIN,LAR,,,,,,QB
94070-42104,RB,Alvin,Alvin Kamara,Kamara,12.213333129882812,15,6000,NO@GB,NO,GB,IR,Suspension,,,,RB/FLEX
94070-89236,QB,James,James Blackman,Blackman,,,6000,DEN@MIA,MIA,DEN,,,,,,QB
94070-27801,QB,Nate,Nate Sudfeld,Sudfeld,-0.20000000298023224,2,6000,ATL@DET,DET,ATL,IR,Knee - acl,,,,QB
94070-93382,QB,Aidan,Aidan O'Connell,O'Connell,,,6000,PIT@LV,LV,PIT,,,,,,QB
94070-130269,QB,Reid,Reid Sinnett,Sinnett,,,6000,LAR@CIN,CIN,LAR,,,,,,QB
94070-54507,QB,Alex,Alex McGough,McGough,,,6000,NO@GB,GB,NO,,,,,,QB
94070-11500,QB,Colt,Colt McCoy,McCoy,8.949999809265137,4,6000,DAL@ARI,ARI,DAL,,,,,,QB
94070-185629,QB,Tim,Tim DeMorat,DeMorat,,,6000,BUF@WAS,WAS,BUF,,,,,,QB
94070-185640,QB,Dresser,Dresser Winn,Winn,,,6000,LAR@CIN,LAR,CIN,,,,,,QB
94070-91468,QB,Chase,Chase Garbers,Garbers,,,6000,PIT@LV,LV,PIT,,,,,,QB
94070-91511,QB,Holton,Holton Ahlers,Ahlers,,,6000,CAR@SEA,SEA,CAR,,,,,,QB
94070-52606,QB,David,David Blough,Blough,10.289999961853027,2,6000,ATL@DET,DET,ATL,,,,,,QB
94070-73118,QB,Ian,Ian Book,Book,,,6000,NE@NYJ,NE,NYJ,,,,,,QB
94070-60840,QB,Jake,Jake Browning,Browning,-0.10000000149011612,1,6000,LAR@CIN,CIN,LAR,,,,,,QB
94070-185773,QB,Nolan,Nolan Henderson,Henderson,,,6000,IND@BAL,BAL,IND,,,,,,QB
94070-185776,QB,Tyson,Tyson Bagent,Bagent,,,6000,CHI@KC,CHI,KC,,,,,,QB
94070-91639,QB,Jake,Jake Fromm,Fromm,,,6000,BUF@WAS,WAS,BUF,,,,,,QB
94070-89607,QB,Tanner,Tanner McKee,McKee,,,6000,PHI@TB,PHI,TB,,,,,,QB
94070-40482,QB,Tim,Tim Boyle,Boyle,-0.8799999952316284,1,6000,NE@NYJ,NYJ,NE,,,,,,QB
94070-30253,QB,Jeff,Jeff Driskel,Driskel,2.388571330479213,7,6000,DAL@ARI,ARI,DAL,,,,,,QB
94070-71242,QB,Jarrett,Jarrett Guarantano,Guarantano,,,6000,DEN@MIA,DEN,MIA,,,,,,QB
94070-69294,QB,Skylar,Skylar Thompson,Thompson,4.195000171661377,8,6000,DEN@MIA,MIA,DEN,,,,,,QB
94070-73398,QB,Chris,Chris Oladokun,Oladokun,,,6000,CHI@KC,KC,CHI,,,,,,QB
94070-52929,QB,Jake,Jake Luton,Luton,,,6000,CAR@SEA,CAR,SEA,,,,,,QB
94070-61157,QB,Brett,Brett Rypien,Rypien,5.505000114440918,4,6000,LAR@CIN,LAR,CIN,,,,,,QB
94070-71521,RB,Justice,Justice Hill,Hill,9.850000381469727,2,6000,IND@BAL,BAL,IND,Q,Toe,,,,RB/FLEX
94070-85860,QB,Tanner,Tanner Morgan,Morgan,,,6000,PIT@LV,PIT,LV,,,,,,QB
